"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2024","1,372.32","1,369.61","1,384.07","1,369.61","","0.88%"
"12/18/2024","1,360.40","1,373.82","1,373.82","1,360.40","","-0.53%"
"12/17/2024","1,367.66","1,367.89","1,372.68","1,363.88","","-0.21%"
"12/16/2024","1,370.59","1,379.22","1,381.02","1,370.59","","-0.69%"
"12/13/2024","1,380.07","1,385.09","1,386.66","1,379.02","","-0.36%"
"12/12/2024","1,385.09","1,383.41","1,385.09","1,377.41","","0.12%"
"12/11/2024","1,383.41","1,384.23","1,389.61","1,379.10","","-0.04%"
"12/10/2024","1,383.99","1,378.67","1,389.32","1,378.67","","0.33%"
"12/09/2024","1,379.45","1,377.29","1,386.44","1,377.29","","0.18%"
"12/06/2024","1,377.04","1,390.94","1,390.94","1,377.04","","-1.26%"
"12/05/2024","1,394.57","1,383.75","1,394.57","1,383.75","","0.78%"
"12/04/2024","1,383.75","1,390.69","1,398.46","1,383.75","","-0.56%"
"12/03/2024","1,391.54","1,398.42","1,402.76","1,391.29","","-0.51%"
"12/02/2024","1,398.62","1,393.62","1,398.62","1,389.36","","0.47%"
"11/29/2024","1,392.13","1,397.58","1,399.09","1,391.00","","-0.39%"
"11/28/2024","1,397.58","1,397.70","1,399.36","1,394.99","","0.01%"
"11/27/2024","1,397.49","1,391.32","1,398.95","1,391.21","","0.45%"
"11/26/2024","1,391.20","1,396.12","1,403.73","1,391.20","","-0.52%"
"11/25/2024","1,398.53","1,395.48","1,401.29","1,392.99","","0.47%"
"11/22/2024","1,391.95","1,385.84","1,396.13","1,385.52","","0.27%"
"11/21/2024","1,388.22","1,386.24","1,398.28","1,385.00","","0.14%"
"11/20/2024","1,386.24","1,369.26","1,387.29","1,367.96","","1.18%"
"11/19/2024","1,370.03","1,360.68","1,371.92","1,356.71","","0.56%"
"11/18/2024","1,362.37","1,347.37","1,362.37","1,344.95","","1.21%"
"11/15/2024","1,346.11","1,347.85","1,353.30","1,342.74","","-0.12%"
"11/14/2024","1,347.68","1,335.54","1,352.93","1,335.03","","0.74%"
"11/13/2024","1,337.79","1,350.40","1,353.65","1,327.85","","-0.56%"
"11/12/2024","1,345.38","1,338.68","1,346.08","1,337.46","","0.75%"
"11/08/2024","1,335.33","1,358.15","1,358.15","1,335.33","","-1.74%"
"11/07/2024","1,359.04","1,363.84","1,363.84","1,352.22","","-0.39%"
"11/06/2024","1,364.37","1,359.96","1,364.78","1,356.05","","0.35%"
"11/05/2024","1,359.65","1,353.52","1,365.33","1,353.52","","0.51%"
"11/01/2024","1,352.80","1,357.89","1,366.53","1,352.80","","-0.42%"
"10/31/2024","1,358.46","1,353.86","1,361.70","1,352.98","","0.15%"
"10/30/2024","1,356.41","1,341.09","1,360.34","1,341.09","","1.27%"
"10/29/2024","1,339.40","1,337.64","1,341.45","1,334.03","","-0.01%"
"10/28/2024","1,339.48","1,333.16","1,346.19","1,332.24","","0.37%"
"10/25/2024","1,334.49","1,339.51","1,342.76","1,330.06","","-0.23%"
"10/24/2024","1,337.60","1,322.32","1,337.60","1,321.87","","1.21%"
"10/23/2024","1,321.55","1,344.11","1,344.57","1,316.22","","-1.69%"
"10/22/2024","1,344.26","1,354.76","1,354.76","1,344.26","","-0.89%"
"10/21/2024","1,356.34","1,362.00","1,365.38","1,350.44","","-0.42%"
"10/18/2024","1,362.07","1,346.25","1,362.07","1,339.79","","1.17%"
"10/17/2024","1,346.29","1,336.99","1,346.29","1,333.62","","0.68%"
"10/16/2024","1,337.26","1,328.86","1,337.26","1,326.40","","0.63%"
"10/15/2024","1,328.87","1,326.98","1,331.55","1,319.51","","0.18%"
"10/11/2024","1,326.48","1,310.13","1,326.48","1,308.54","","1.25%"
"10/10/2024","1,310.13","1,301.30","1,311.30","1,301.30","","0.67%"
"10/09/2024","1,301.41","1,300.01","1,307.13","1,296.43","","0.11%"
"10/08/2024","1,300.01","1,309.77","1,309.77","1,297.45","","-0.71%"
"10/07/2024","1,309.35","1,303.47","1,309.35","1,302.87","","0.42%"
"10/04/2024","1,303.86","1,304.94","1,307.79","1,300.80","","0.05%"
"10/03/2024","1,303.27","1,301.36","1,303.27","1,294.74","","0.15%"
"10/02/2024","1,301.36","1,306.27","1,312.86","1,296.52","","-0.44%"
"10/01/2024","1,307.14","1,305.37","1,310.46","1,303.58","","-0.03%"
"09/30/2024","1,307.59","1,320.90","1,320.90","1,307.55","","-1.00%"
"09/27/2024","1,320.81","1,329.95","1,329.95","1,315.98","","-0.81%"
"09/26/2024","1,331.64","1,321.19","1,331.64","1,318.43","","0.79%"
"09/25/2024","1,321.19","1,328.45","1,328.60","1,314.18","","-1.03%"
"09/24/2024","1,334.90","1,323.00","1,334.90","1,322.69","","0.96%"
"09/23/2024","1,322.17","1,321.20","1,329.04","1,319.32","","0.10%"
"09/20/2024","1,320.84","1,320.58","1,321.03","1,313.94","","0.02%"
"09/19/2024","1,320.58","1,307.54","1,320.58","1,307.24","","1.02%"
"09/18/2024","1,307.24","1,313.35","1,313.35","1,303.74","","-0.47%"
"09/17/2024","1,313.35","1,317.98","1,320.15","1,311.45","","-0.35%"
"09/16/2024","1,317.98","1,312.55","1,321.34","1,311.66","","0.48%"
"09/13/2024","1,311.68","1,320.63","1,321.35","1,311.68","","-0.65%"
"09/12/2024","1,320.28","1,309.89","1,320.28","1,308.02","","0.79%"
"09/11/2024","1,309.92","1,314.08","1,318.17","1,308.73","","-0.28%"
"09/10/2024","1,313.66","1,321.67","1,322.37","1,310.10","","-0.61%"
"09/09/2024","1,321.67","1,328.57","1,332.80","1,321.67","","-0.60%"
"09/06/2024","1,329.63","1,339.93","1,340.57","1,326.94","","-0.85%"
"09/05/2024","1,340.99","1,337.24","1,341.76","1,335.28","","-0.10%"
"09/04/2024","1,342.29","1,347.25","1,348.09","1,340.63","","-0.39%"
"09/03/2024","1,347.49","1,355.39","1,355.39","1,343.54","","-0.50%"
"09/02/2024","1,354.23","1,361.95","1,361.95","1,349.09","","1.08%"
"08/30/2024","1,339.79","1,335.32","1,341.09","1,335.32","","0.48%"
"08/29/2024","1,333.36","1,342.62","1,344.30","1,332.22","","-0.74%"
"08/28/2024","1,343.36","1,339.51","1,345.89","1,339.22","","0.18%"
"08/27/2024","1,340.88","1,342.99","1,347.61","1,338.39","","0.23%"
"08/26/2024","1,337.84","1,333.07","1,337.84","1,330.71","","0.35%"
"08/23/2024","1,333.22","1,333.45","1,337.48","1,330.88","","-0.09%"
"08/22/2024","1,334.47","1,348.17","1,349.29","1,331.42","","-0.65%"
"08/21/2024","1,343.19","1,346.00","1,348.99","1,343.19","","-0.06%"
"08/20/2024","1,344.04","1,362.85","1,362.85","1,342.84","","-0.87%"
"08/16/2024","1,355.81","1,359.40","1,359.45","1,351.66","","-0.41%"
"08/15/2024","1,361.42","1,351.36","1,361.67","1,350.72","","0.89%"
"08/14/2024","1,349.35","1,341.35","1,353.65","1,339.68","","0.57%"
"08/13/2024","1,341.70","1,334.81","1,342.94","1,330.45","","0.64%"
"08/12/2024","1,333.15","1,307.78","1,336.23","1,307.78","","1.74%"
"08/09/2024","1,310.36","1,305.04","1,311.92","1,299.85","","0.15%"
"08/08/2024","1,308.38","1,297.63","1,313.24","1,296.42","","0.30%"
"08/06/2024","1,304.52","1,294.53","1,310.05","1,294.53","","1.05%"
"08/05/2024","1,290.95","1,308.16","1,308.16","1,272.05","","-2.24%"
"08/02/2024","1,320.49","1,341.77","1,341.77","1,317.26","","-1.25%"
"08/01/2024","1,337.21","1,345.70","1,347.25","1,335.16","","-0.85%"
"07/31/2024","1,348.69","1,336.99","1,348.90","1,336.99","","1.14%"
"07/30/2024","1,333.49","1,340.69","1,342.47","1,332.96","","-0.41%"
"07/29/2024","1,339.02","1,345.28","1,347.08","1,335.18","","-0.49%"
"07/26/2024","1,345.62","1,352.58","1,353.70","1,344.10","","-0.42%"
"07/25/2024","1,351.32","1,354.40","1,354.40","1,350.14","","-0.29%"
"07/24/2024","1,355.19","1,361.01","1,363.11","1,353.35","","-0.52%"
"07/23/2024","1,362.24","1,366.24","1,367.18","1,361.35","","-0.44%"
"07/22/2024","1,368.32","1,367.69","1,369.07","1,362.92","","0.18%"
"07/19/2024","1,365.91","1,364.90","1,369.06","1,360.65","","0.17%"
"07/18/2024","1,363.61","1,366.24","1,368.27","1,361.62","","-0.21%"
"07/17/2024","1,366.42","1,375.42","1,378.26","1,366.42","","-0.58%"
"07/16/2024","1,374.41","1,374.77","1,376.29","1,371.52","","0.24%"
"07/15/2024","1,371.11","1,374.98","1,377.39","1,369.02","","0.01%"
"07/12/2024","1,371.04","1,376.18","1,376.18","1,366.24","","0.04%"
"07/11/2024","1,370.45","1,365.92","1,371.08","1,364.84","","0.28%"
"07/10/2024","1,366.66","1,362.21","1,373.38","1,356.63","","-0.59%"
"07/09/2024","1,374.81","1,383.47","1,383.47","1,372.35","","-0.50%"
"07/08/2024","1,381.72","1,384.49","1,385.21","1,379.31","","0.14%"
"07/05/2024","1,379.85","1,385.60","1,390.05","1,379.67","","-0.49%"
"07/04/2024","1,386.64","1,381.40","1,387.06","1,381.40","","0.10%"
"07/03/2024","1,385.32","1,383.05","1,387.99","1,383.05","","0.03%"
"07/02/2024","1,384.97","1,381.32","1,386.37","1,377.70","","0.19%"
"06/28/2024","1,382.29","1,375.88","1,383.51","1,373.08","","0.42%"
"06/27/2024","1,376.53","1,368.06","1,377.14","1,364.93","","0.12%"
"06/26/2024","1,374.84","1,369.35","1,374.84","1,365.27","","0.51%"
"06/25/2024","1,367.81","1,381.10","1,383.87","1,363.70","","-0.74%"
"06/24/2024","1,378.05","1,365.34","1,378.18","1,365.34","","0.69%"
"06/21/2024","1,368.55","1,376.07","1,377.81","1,368.41","","-0.54%"
"06/20/2024","1,375.93","1,369.60","1,385.29","1,365.66","","-0.66%"
"06/19/2024","1,385.13","1,389.31","1,391.06","1,380.65","","-0.09%"
"06/18/2024","1,386.36","1,378.59","1,393.65","1,378.59","","0.33%"
"06/17/2024","1,381.76","1,378.09","1,389.28","1,378.09","","0.18%"
"06/14/2024","1,379.22","1,387.38","1,389.30","1,377.15","","-0.69%"
"06/13/2024","1,388.77","1,381.37","1,391.72","1,381.37","","0.33%"
"06/12/2024","1,384.25","1,390.64","1,398.21","1,383.86","","-0.61%"
"06/11/2024","1,392.76","1,407.99","1,408.56","1,392.61","","-1.54%"
"06/07/2024","1,414.56","1,409.19","1,416.87","1,408.61","","0.52%"
"06/06/2024","1,407.27","1,407.91","1,412.32","1,402.86","","0.17%"
"06/05/2024","1,404.83","1,403.87","1,407.66","1,402.58","","0.19%"
