"Date","Price","Open","High","Low","Change %"
"12/20/2024","5.590","5.590","5.590","5.590","0.00%"
"12/19/2024","5.590","5.540","5.590","5.540","0.90%"
"12/18/2024","5.540","5.520","5.540","5.520","0.36%"
"12/17/2024","5.520","5.520","5.520","5.520","0.00%"
"12/16/2024","5.520","5.520","5.520","5.520","0.00%"
"12/13/2024","5.520","5.520","5.520","5.520","0.00%"
"12/12/2024","5.520","5.520","5.520","5.520","0.55%"
"12/11/2024","5.490","5.490","5.490","5.490","0.00%"
"12/10/2024","5.490","5.520","5.520","5.490","-0.54%"
"12/09/2024","5.520","5.450","5.520","5.450","1.28%"
"12/06/2024","5.450","5.490","5.490","5.450","-0.73%"
"12/05/2024","5.490","5.540","5.540","5.490","-0.90%"
"12/04/2024","5.540","5.540","5.540","5.540","0.00%"
"12/03/2024","5.540","5.560","5.560","5.540","-0.36%"
"12/02/2024","5.560","5.620","5.620","5.560","-1.07%"
"11/29/2024","5.620","5.540","5.620","5.540","1.44%"
"11/28/2024","5.540","5.540","5.540","5.540","0.00%"
"11/27/2024","5.540","5.610","5.610","5.540","-1.25%"
"11/26/2024","5.610","5.560","5.610","5.560","0.90%"
"11/25/2024","5.560","5.570","5.570","5.560","-0.18%"
"11/22/2024","5.570","5.530","5.570","5.530","0.72%"
"11/21/2024","5.530","5.570","5.570","5.530","-0.72%"
"11/20/2024","5.570","5.600","5.600","5.570","-0.54%"
"11/19/2024","5.600","5.530","5.600","5.530","1.27%"
"11/18/2024","5.530","5.530","5.530","5.520","0.00%"
"11/15/2024","5.530","5.530","5.530","5.530","0.00%"
"11/14/2024","5.530","5.530","5.530","5.530","0.00%"
"11/13/2024","5.530","5.540","5.540","5.530","-0.18%"
"11/12/2024","5.540","5.600","5.600","5.540","-1.07%"
"11/11/2024","5.600","5.550","5.600","5.550","0.90%"
"11/08/2024","5.550","5.560","5.560","5.550","-0.18%"
"11/07/2024","5.560","5.560","5.560","5.560","0.00%"
"11/06/2024","5.560","5.470","5.560","5.470","1.65%"
"11/05/2024","5.470","5.440","5.470","5.440","0.55%"
"11/04/2024","5.440","5.450","5.450","5.440","-0.18%"
"10/31/2024","5.450","5.470","5.470","5.450","-0.37%"
"10/30/2024","5.470","5.470","5.470","5.470","0.00%"
"10/29/2024","5.470","5.390","5.470","5.390","1.48%"
"10/28/2024","5.390","5.390","5.390","5.390","0.00%"
"10/25/2024","5.390","5.390","5.390","5.390","0.00%"
"10/24/2024","5.390","5.390","5.390","5.390","0.00%"
"10/23/2024","5.390","5.380","5.390","5.380","0.19%"
"10/22/2024","5.380","5.340","5.380","5.340","0.75%"
"10/21/2024","5.340","5.330","5.340","5.330","0.19%"
"10/18/2024","5.330","5.320","5.330","5.320","0.19%"
"10/17/2024","5.320","5.420","5.420","5.320","-1.85%"
"10/16/2024","5.420","5.470","5.470","5.420","-0.91%"
"10/15/2024","5.470","5.470","5.470","5.470","0.00%"
"10/14/2024","5.470","5.460","5.470","5.460","0.18%"
"10/11/2024","5.460","5.460","5.460","5.460","0.00%"
"10/10/2024","5.460","5.460","5.460","5.460","0.00%"
"10/09/2024","5.460","5.460","5.460","5.460","0.00%"
"10/08/2024","5.460","5.430","5.460","5.430","0.55%"
"10/07/2024","5.430","5.430","5.430","5.430","0.00%"
"10/04/2024","5.430","5.430","5.430","5.430","0.00%"
"10/03/2024","5.430","5.400","5.430","5.400","0.56%"
"10/02/2024","5.400","5.400","5.400","5.400","0.00%"
"10/01/2024","5.400","5.400","5.400","5.400","0.00%"
"09/30/2024","5.400","5.400","5.400","5.400","0.00%"
"09/27/2024","5.400","5.400","5.400","5.400","0.00%"
"09/26/2024","5.400","5.400","5.400","5.400","0.00%"
"09/25/2024","5.400","5.400","5.400","5.400","-0.92%"
"09/24/2024","5.450","5.450","5.450","5.450","0.93%"
"09/23/2024","5.400","5.400","5.400","5.400","2.86%"
"09/16/2024","5.250","5.250","5.250","5.250","-0.19%"
"09/13/2024","5.260","5.260","5.260","5.260","-0.38%"
"09/12/2024","5.280","5.280","5.280","5.280","0.00%"
"09/11/2024","5.280","5.280","5.280","5.280","-0.94%"
"09/10/2024","5.330","5.330","5.330","5.330","-0.74%"
"09/09/2024","5.370","5.370","5.370","5.370","-0.19%"
"09/06/2024","5.380","5.380","5.380","5.380","-0.19%"
"09/05/2024","5.390","5.390","5.390","5.390","-0.92%"
"09/04/2024","5.440","5.440","5.440","5.440","-1.98%"
"09/03/2024","5.550","5.550","5.550","5.550","0.00%"
"09/02/2024","5.550","5.550","5.550","5.550","0.18%"
"08/30/2024","5.540","5.540","5.540","5.540","-0.72%"
"08/29/2024","5.580","5.580","5.580","5.580","-0.18%"
"08/28/2024","5.590","5.590","5.590","5.590","-0.18%"
"08/27/2024","5.600","5.600","5.600","5.600","-0.18%"
"08/26/2024","5.610","5.610","5.610","5.610","-0.53%"
"08/23/2024","5.640","5.640","5.640","5.640","-1.91%"
"08/22/2024","5.750","5.750","5.750","5.750","2.31%"
"08/21/2024","5.620","5.620","5.620","5.620","-0.53%"
"08/20/2024","5.650","5.650","5.650","5.650","-0.35%"
"08/19/2024","5.670","5.670","5.670","5.670","-0.70%"
"08/16/2024","5.710","5.710","5.710","5.710","0.18%"
"08/14/2024","5.700","5.700","5.700","5.700","-1.04%"
"08/13/2024","5.760","5.760","5.760","5.760","-1.03%"
"08/12/2024","5.820","5.820","5.820","5.820","-0.34%"
"08/09/2024","5.840","5.840","5.840","5.840","-0.85%"
"08/08/2024","5.890","5.890","5.890","5.890","1.20%"
"08/06/2024","5.820","5.820","5.820","5.820","0.00%"
"08/05/2024","5.820","5.820","5.820","5.820","-1.52%"
"08/02/2024","5.910","5.910","5.910","5.910","-1.34%"
"08/01/2024","5.990","5.990","5.990","5.990","-0.50%"
"07/31/2024","6.020","6.020","6.020","6.020","-0.33%"
"07/30/2024","6.040","6.040","6.040","6.040","-0.33%"
"07/29/2024","6.060","6.060","6.060","6.060","0.66%"
"07/26/2024","6.020","6.020","6.020","6.020","-0.17%"
"07/25/2024","6.030","6.030","6.030","6.030","-0.33%"
"07/24/2024","6.050","6.050","6.050","6.050","-0.17%"
"07/23/2024","6.060","6.060","6.060","6.060","0.00%"
"07/22/2024","6.060","6.060","6.060","6.060","-0.16%"
"07/19/2024","6.070","6.070","6.070","6.070","0.50%"
"07/17/2024","6.040","6.040","6.040","6.040","-0.49%"
"07/15/2024","6.070","6.070","6.070","6.070","-0.16%"
"07/12/2024","6.080","6.080","6.080","6.080","-0.16%"
"07/11/2024","6.090","6.090","6.090","6.090","-1.14%"
"07/10/2024","6.160","6.160","6.160","6.160","-0.16%"
"07/09/2024","6.170","6.170","6.170","6.170","0.16%"
"07/08/2024","6.160","6.160","6.160","6.160","-0.32%"
"07/05/2024","6.180","6.180","6.180","6.180","0.32%"
"07/04/2024","6.160","6.160","6.160","6.160","-0.32%"
"07/03/2024","6.180","6.180","6.180","6.180","-0.16%"
"07/02/2024","6.190","6.190","6.190","6.190","-0.32%"
"07/01/2024","6.210","6.210","6.210","6.210","0.16%"
"06/28/2024","6.200","6.200","6.200","6.200","-0.32%"
"06/27/2024","6.220","6.220","6.220","6.220","0.48%"
"06/26/2024","6.190","6.190","6.190","6.190","0.98%"
"06/25/2024","6.130","6.130","6.130","6.130","0.66%"
"06/24/2024","6.090","6.090","6.090","6.090","0.16%"
"06/21/2024","6.080","6.080","6.080","6.080","0.66%"
